type,book_id,user,time,rating,content,book name
短评,1028842,传奇☂,2011-11-21 16:42:13,5,2011-9-15 如果所有的教课书都是这样的，那么我们会有多么幸福！,经济学原理（上下）
短评,1028842,Ying,2012-09-03 17:42:46,5,为了演讲又翻出来看了下，真是经济学入门最好最有趣的书，没有之一。,经济学原理（上下）
短评,1028842,角质紧猫,2009-08-29 16:14:39,4,咿呀......知道是本好书可是看不进去怎办呀掩面,经济学原理（上下）
短评,1028842,leoglory,2010-07-01 08:33:37,5,我以后也要写这样的教科书。,经济学原理（上下）
短评,1028842,leo,2010-04-11 07:07:13,0,作为一本初级的西方经济学教科书，它十分成功。对于绝大多数渴望了解西方经济学的非专业人员，读完这本书足矣。但是，我不肯定此书的汉译水平。它的拙劣将影响至少一代中国经济学人的专业表达能力。,经济学原理（上下）
短评,1028842,Mannialanck,2012-08-27 10:01:26,5,多年以前，这门课得了个A，大学里一共就得了几个A,经济学原理（上下）
短评,1028842,Once,2013-09-04 20:18:14,0,比《经济学的思维方式》更好一些,经济学原理（上下）
短评,1028842,菠菜,2010-11-08 21:28:48,5,就我的脑子得读多少遍啊- -,经济学原理（上下）
短评,1028842,Bill,2007-12-17 23:21:17,5,非常好的经济学教材 多用图形解决问题 些许翻译错误美中不足 总体来说是非常经典的经济学入门读物 不仅可以当作课本来用 有兴趣的也可以当作科普书来增长一下知识 可惜案例多以西方视角入手 特别讲到宏观部分的时候对中国有些水土不服,经济学原理（上下）
短评,1028842,吃饱饱的贼贼,2008-03-16 17:24:08,5,还是曼昆人好．．,经济学原理（上下）
短评,1028842,刘小昭,2017-06-12 11:54:16,5,曼昆+梁小民,经济学原理（上下）
短评,1028842,[已注销],2010-08-02 20:14:24,0,只看完了上册。。。下册过阵子再看吧。。蛋疼,经济学原理（上下）
短评,1028842,北漠,2007-04-21 03:06:17,4,"呵呵，还不错，不如塞缪尔森
但是曼昆是个才子，这么艰深的经济学，他深入浅出",经济学原理（上下）
短评,1028842,withinbeyond,2010-09-21 22:54:31,3,逻辑没有问题，有问题的是作为起点的假设。,经济学原理（上下）
短评,1028842,miniuminiu,2014-01-06 11:27:35,5,无言,经济学原理（上下）
短评,1028842,daling,2012-04-08 23:07:17,5,大学教科书啊,经济学原理（上下）
